Implementation,Part,ldr count,ldp count,ldrsb count,str count,stp count,stur count,strb count,Total Memory access,Total instructions
Base,Iteration,37,2,0,38,6,0,0,83,312
Base,Attribute Ctor,12,1,6,14,1,4,2,40,148
Base,Population,153,7,17,93,12,10,8,300,956
Best,Iteration,21,1,0,3,1,0,0,26,109
Best,Attribute Ctor,7,1,3,7,1,2,1,22,84
Best,Population,102,12,13,96,33,8,7,271,807
Generics,Attribute Ctor,17,1,9,16,1,6,3,53,196
Generics,Population,194,4,26,129,11,16,11,391,1200
Generics,Iteration,53,2,0,78,7,0,0,140,432
Strong,Attribute Ctor,12,1,6,12,1,4,2,38,148
Strong,Population,179,4,19,121,12,12,9,356,1052
Strong,Iteration,48,2,0,53,8,0,0,111,392