OS,Program,Dataset,Run,Time Taken (ms)
MacOS,Simple Node,tiny,1,2.882
MacOS,Simple Node,tiny,2,2.706
MacOS,Simple Node,tiny,3,2.757
MacOS,Simple Node,tiny,4,2.812
MacOS,Simple Node,tiny,5,2.757
MacOS,Simple C,tiny,1,2.746
MacOS,Simple C,tiny,2,2.837
MacOS,Simple C,tiny,3,2.811
MacOS,Simple C,tiny,4,2.865
MacOS,Simple C,tiny,5,2.701
MacOS,Simple Node,small,1,31.848
MacOS,Simple Node,small,2,27.911
MacOS,Simple Node,small,3,28.091
MacOS,Simple Node,small,4,28.224
MacOS,Simple Node,small,5,30.337
MacOS,Simple C,small,1,16.593
MacOS,Simple C,small,2,12.306
MacOS,Simple C,small,3,11.604
MacOS,Simple C,small,4,11.822
MacOS,Simple C,small,5,11.603
MacOS,Simple Node,medium,1,46.4
MacOS,Simple Node,medium,2,49.628
MacOS,Simple Node,medium,3,43.897
MacOS,Simple Node,medium,4,43.504
MacOS,Simple Node,medium,5,43.803
MacOS,Simple C,medium,1,38.216
MacOS,Simple C,medium,2,32.932
MacOS,Simple C,medium,3,33.344
MacOS,Simple C,medium,4,32.852
MacOS,Simple C,medium,5,33.13
MacOS,Simple Node,large,1,103.602
MacOS,Simple Node,large,2,102.249
MacOS,Simple Node,large,3,103.597
MacOS,Simple Node,large,4,100.492
MacOS,Simple Node,large,5,99.943
MacOS,Simple C,large,1,117.237
MacOS,Simple C,large,2,112.961
MacOS,Simple C,large,3,119.521
MacOS,Simple C,large,4,118.821
MacOS,Simple C,large,5,116.422
MacOS,Simple Node,xlarge,1,271.526
MacOS,Simple Node,xlarge,2,267.145
MacOS,Simple Node,xlarge,3,265.644
MacOS,Simple Node,xlarge,4,273.515
MacOS,Simple Node,xlarge,5,265.67
MacOS,Simple C,xlarge,1,342.083
MacOS,Simple C,xlarge,2,351.208
MacOS,Simple C,xlarge,3,352.961
MacOS,Simple C,xlarge,4,345.372
MacOS,Simple C,xlarge,5,347.69
MacOS,Async Node,tiny,1,4.236
MacOS,Async Node,tiny,2,3.999
MacOS,Async Node,tiny,3,4.0669
MacOS,Async Node,tiny,4,3.936
MacOS,Async Node,tiny,5,4.144
MacOS,Async Node,small,1,14.009
MacOS,Async Node,small,2,13.925
MacOS,Async Node,small,3,14.457
MacOS,Async Node,small,4,13.759
MacOS,Async Node,small,5,13.993
MacOS,Async Node,medium,1,19.917
MacOS,Async Node,medium,2,21.217
MacOS,Async Node,medium,3,20.786
MacOS,Async Node,medium,4,20.38
MacOS,Async Node,medium,5,21.521
MacOS,Async Node,large,1,46.115
MacOS,Async Node,large,2,43.961
MacOS,Async Node,large,3,46.399
MacOS,Async Node,large,4,44.45
MacOS,Async Node,large,5,46.618
MacOS,Async Node,xlarge,1,123.546
MacOS,Async Node,xlarge,2,124.918
MacOS,Async Node,xlarge,3,122.929
MacOS,Async Node,xlarge,4,122.656
MacOS,Async Node,xlarge,5,113.033
MacOS,Async C,tiny,1,3.243
MacOS,Async C,tiny,2,3.01
MacOS,Async C,tiny,3,2.928
MacOS,Async C,tiny,4,2.837
MacOS,Async C,tiny,5,2.84
MacOS,Async C,small,1,12.498
MacOS,Async C,small,2,13.277
MacOS,Async C,small,3,11.361
MacOS,Async C,small,4,12.738
MacOS,Async C,small,5,12.066
MacOS,Async C,medium,1,34.89
MacOS,Async C,medium,2,34.714
MacOS,Async C,medium,3,36.714
MacOS,Async C,medium,4,33.254
MacOS,Async C,medium,5,37.035
MacOS,Async C,large,1,138.062
MacOS,Async C,large,2,122.881
MacOS,Async C,large,3,135.018
MacOS,Async C,large,4,125.869
MacOS,Async C,large,5,132.422
MacOS,Async C,xlarge,1,374.451
MacOS,Async C,xlarge,2,383.39
MacOS,Async C,xlarge,3,390.604
MacOS,Async C,xlarge,4,389.698
MacOS,Async C,xlarge,5,387.287
MacOS,Event C,tiny,1,1.449
MacOS,Event C,tiny,2,1.27
MacOS,Event C,tiny,3,1.492
MacOS,Event C,tiny,4,1.34
MacOS,Event C,tiny,5,1.272
MacOS,Event C,small,1,6.478
MacOS,Event C,small,2,5.382
MacOS,Event C,small,3,5.348
MacOS,Event C,small,4,4.699
MacOS,Event C,small,5,5.417
MacOS,Event C,medium,1,12.259
MacOS,Event C,medium,2,12.085
MacOS,Event C,medium,3,11.448
MacOS,Event C,medium,4,10.727
MacOS,Event C,medium,5,11.643
MacOS,Event C,large,1,43.143
MacOS,Event C,large,2,38.099
MacOS,Event C,large,3,37.823
MacOS,Event C,large,4,40.457
MacOS,Event C,large,5,37.457
MacOS,Event C,xlarge,1,105.584
MacOS,Event C,xlarge,2,113.515
MacOS,Event C,xlarge,3,105.672
MacOS,Event C,xlarge,4,105.24
MacOS,Event C,xlarge,5,105.689
Linux,Simple Node,tiny,1,4.21
Linux,Simple Node,tiny,2,4.105
Linux,Simple Node,tiny,3,4.075
Linux,Simple Node,tiny,4,4.282
Linux,Simple Node,tiny,5,4.3
Linux,Simple C,tiny,1,3.978
Linux,Simple C,tiny,2,3.263
Linux,Simple C,tiny,3,3.369
Linux,Simple C,tiny,4,3.033
Linux,Simple C,tiny,5,3.429
Linux,Simple Node,small,1,31.859
Linux,Simple Node,small,2,34.015
Linux,Simple Node,small,3,33.17
Linux,Simple Node,small,4,36.491
Linux,Simple Node,small,5,34.976
Linux,Simple C,small,1,15.245
Linux,Simple C,small,2,17.0234
Linux,Simple C,small,3,15.902
Linux,Simple C,small,4,15.375
Linux,Simple C,small,5,15.612
Linux,Simple Node,medium,1,54.875
Linux,Simple Node,medium,2,60.799
Linux,Simple Node,medium,3,52.915
Linux,Simple Node,medium,4,64.216
Linux,Simple Node,medium,5,48.849
Linux,Simple C,medium,1,32.831
Linux,Simple C,medium,2,38.483
Linux,Simple C,medium,3,29.735
Linux,Simple C,medium,4,31.253
Linux,Simple C,medium,5,39.93
Linux,Simple Node,large,1,117.539
Linux,Simple Node,large,2,130.203
Linux,Simple Node,large,3,107.45
Linux,Simple Node,large,4,119.32
Linux,Simple Node,large,5,128.503
Linux,Simple C,large,1,131.759
Linux,Simple C,large,2,103.626
Linux,Simple C,large,3,102.316
Linux,Simple C,large,4,105.919
Linux,Simple C,large,5,105.781
Linux,Simple Node,xlarge,1,318.267
Linux,Simple Node,xlarge,2,291.836
Linux,Simple Node,xlarge,3,363.004
Linux,Simple Node,xlarge,4,311.934
Linux,Simple Node,xlarge,5,331.373
Linux,Simple C,xlarge,1,363.222
Linux,Simple C,xlarge,2,330.895
Linux,Simple C,xlarge,3,330.069
Linux,Simple C,xlarge,4,295.434
Linux,Simple C,xlarge,5,339.271
Linux,Async Node,tiny,1,7.048
Linux,Async Node,tiny,2,7.392
Linux,Async Node,tiny,3,7.01
Linux,Async Node,tiny,4,7.425
Linux,Async Node,tiny,5,7.814
Linux,Async Node,small,1,18.941
Linux,Async Node,small,2,18.941
Linux,Async Node,small,3,20.253
Linux,Async Node,small,4,19.231
Linux,Async Node,small,5,20.378
Linux,Async Node,medium,1,33.329
Linux,Async Node,medium,2,32.894
Linux,Async Node,medium,3,36.19
Linux,Async Node,medium,4,34.369
Linux,Async Node,medium,5,33.389
Linux,Async Node,large,1,86.159
Linux,Async Node,large,2,97.643
Linux,Async Node,large,3,91.815
Linux,Async Node,large,4,91.55
Linux,Async Node,large,5,77.223
Linux,Async Node,xlarge,1,273.359
Linux,Async Node,xlarge,2,255.981
Linux,Async Node,xlarge,3,263.107
Linux,Async Node,xlarge,4,278.717
Linux,Async Node,xlarge,5,242.07
Linux,Async C,tiny,1,5.016
Linux,Async C,tiny,2,4.126
Linux,Async C,tiny,3,4.56
Linux,Async C,tiny,4,4.668
Linux,Async C,tiny,5,3.911
Linux,Async C,small,1,19.38
Linux,Async C,small,2,19.561
Linux,Async C,small,3,20.93
Linux,Async C,small,4,18.665
Linux,Async C,small,5,18.616
Linux,Async C,medium,1,42.922
Linux,Async C,medium,2,42.914
Linux,Async C,medium,3,44.097
Linux,Async C,medium,4,48.472
Linux,Async C,medium,5,43.144
Linux,Async C,large,1,133.798
Linux,Async C,large,2,143.128
Linux,Async C,large,3,135.007
Linux,Async C,large,4,129.305
Linux,Async C,large,5,126.947
Linux,Async C,xlarge,1,350.823
Linux,Async C,xlarge,2,341.059
Linux,Async C,xlarge,3,364.281
Linux,Async C,xlarge,4,355.177
Linux,Async C,xlarge,5,366.995
Linux,Event C,tiny,1,2.957
Linux,Event C,tiny,2,2.603
Linux,Event C,tiny,3,2.657
Linux,Event C,tiny,4,2.802
Linux,Event C,tiny,5,2.423
Linux,Event C,small,1,10.458
Linux,Event C,small,2,9.449
Linux,Event C,small,3,11.577
Linux,Event C,small,4,9.981
Linux,Event C,small,5,10.375
Linux,Event C,medium,1,19.795
Linux,Event C,medium,2,19.009
Linux,Event C,medium,3,19.736
Linux,Event C,medium,4,18.326
Linux,Event C,medium,5,16.258
Linux,Event C,large,1,57.136
Linux,Event C,large,2,49.635
Linux,Event C,large,3,55.815
Linux,Event C,large,4,57.047
Linux,Event C,large,5,59.134
Linux,Event C,xlarge,1,180.226
Linux,Event C,xlarge,2,156.014
Linux,Event C,xlarge,3,158.568
Linux,Event C,xlarge,4,151.224
Linux,Event C,xlarge,5,195.344